Date;Jour;0-1h;1-2h;2-3h;3-4h;4-5h;5-6h;6-7h;7-8h;8-9h;9-10h;10-11h;11-12h;12-13h;13-14h;14-15h;15-16h;16-17h;17-18h;18-19h;19-20h;20-21h;21-22h;22-23h;23-24h;Total
31/07/2022;1;256;195;142;106;80;79;124;126;156;224;349;394;457;426;425;417;433;460;487;473;379;371;388;343;7290
01/08/2022;2;220;153;75;59;64;98;244;358;548;508;530;563;599;615;584;555;678;759;744;593;427;299;213;309;9795
02/08/2022;3;191;104;80;41;58;124;287;414;557;576;588;637;602;617;584;610;687;736;776;668;462;360;270;235;10264
03/08/2022;4;196;109;81;46;55;126;266;400;545;626;579;547;610;547;543;551;646;657;744;656;472;349;321;286;9958
04/08/2022;5;217;140;73;50;60;130;247;439;612;567;561;578;570;603;590;618;702;698;783;632;463;326;250;245;10154
05/08/2022;6;177;111;77;40;63;136;232;373;610;569;598;596;655;599;547;591;655;679;654;593;430;327;249;257;9818
06/08/2022;7;206;141;114;74;66;85;163;191;216;295;393;444;68;416;443;405;448;469;445;482;402;339;264;240;6809
07/08/2022;1;235;190;119;71;61;79;132;118;134;172;275;348;443;365;356;358;399;387;427;465;367;390;364;299;6554
08/08/2022;2;248;94;77;51;53;99;220;366;515;539;503;525;481;540;514;530;589;641;634;499;398;285;233;212;8846
09/08/2022;3;150;88;59;58;55;109;242;381;533;517;523;565;524;471;521;598;595;701;643;576;392;307;279;233;9120
10/08/2022;4;170;108;77;47;52;102;225;352;502;521;570;490;534;523;539;495;551;625;628;619;418;276;276;211;8911
11/08/2022;5;140;112;71;53;57;82;246;401;554;514;545;527;558;534;519;511;566;597;610;526;397;310;259;255;8944
12/08/2022;6;173;112;74;35;46;101;247;354;530;484;554;535;527;526;514;571;626;574;568;689;358;300;259;226;8983
13/08/2022;7;69;104;98;76;81;77;144;161;216;270;361;363;384;367;385;352;360;350;441;413;362;315;240;281;6270
14/08/2022;1;270;197;163;113;65;83;115;102;133;164;263;356;335;332;325;319;313;327;412;345;338;321;257;279;5927
15/08/2022;2;333;181;113;69;37;46;99;154;166;166;278;296;374;346;324;358;366;357;413;422;337;303;265;224;6027
16/08/2022;3;173;96;64;36;53;83;226;427;501;505;495;558;544;543;575;555;592;640;657;382;408;289;217;211;8830
17/08/2022;4;135;80;49;36;57;75;226;385;554;469;527;498;546;533;493;543;623;636;702;520;389;288;279;213;8856
18/08/2022;5;167;77;70;45;58;105;243;410;528;503;491;536;493;510;555;568;621;630;719;605;378;310;328;347;9297
19/08/2022;6;243;109;73;48;60;109;232;353;547;507;530;603;537;605;558;563;605;647;601;560;389;303;270;257;9309
21/08/2022;1;239;141;125;75;59;90;121;106;126;211;309;394;386;384;353;412;383;390;435;409;389;424;337;308;6606
22/08/2022;2;189;90;47;43;48;101;251;419;532;455;482;546;588;622;599;565;656;711;732;582;369;319;223;230;9399
23/08/2022;3;147;83;42;41;65;93;241;404;614;549;612;582;562;630;559;670;705;753;770;597;483;306;249;215;9972
24/08/2022;4;150;96;63;41;61;110;245;431;556;497;564;490;429;615;656;596;677;668;747;665;489;328;313;238;9725
25/08/2022;5;178;113;60;38;58;128;244;436;547;533;567;634;602;553;609;608;708;700;721;683;525;310;258;240;10053
26/08/2022;6;184;111;64;60;44;125;255;412;588;628;567;599;638;666;695;650;705;774;711;655;471;373;298;291;10564
27/08/2022;7;225;154;107;81;65;103;144;205;296;373;456;536;517;494;492;466;529;481;527;573;411;362;352;315;8264
28/08/2022;1;334;204;151;104;92;86;134;134;143;248;367;443;508;465;467;399;449;440;450;501;437;434;350;336;7676
29/08/2022;2;238;108;85;58;59;124;253;402;586;563;563;608;633;667;682;666;716;800;788;772;567;360;285;259;10842
30/08/2022;3;192;91;59;47;60;134;286;495;607;602;630;679;719;705;760;678;789;894;799;763;588;396;346;357;11676
31/08/2022;4;226;122;78;54;62;122;290;492;613;592;638;694;689;678;721;734;792;883;947;792;574;363;390;283;11829
01/09/2022;5;201;113;76;44;67;131;273;478;621;675;617;634;668;702;772;701;862;943;955;753;564;394;351;281;11876
02/09/2022;6;191;126;82;70;72;128;293;455;661;625;750;720;724;763;785;702;898;962;837;769;618;387;343;281;12242
03/09/2022;7;243;182;133;90;79;125;179;231;324;464;520;554;585;530;567;576;590;528;516;546;489;403;332;352;9138
04/09/2022;1;312;264;141;126;78;101;145;126;221;283;419;540;542;564;489;473;495;495;505;500;486;489;383;280;8457
05/09/2022;2;214;114;78;52;54;130;279;467;736;654;694;690;749;762;729;805;876;975;989;894;536;389;268;224;12358
06/09/2022;3;139;93;64;45;52;154;272;488;769;683;702;727;683;268;744;790;924;980;955;860;694;416;295;268;12065
07/09/2022;4;221;130;66;53;51;125;278;529;758;676;706;755;810;781;791;823;876;922;1028;825;571;384;301;237;12697
08/09/2022;5;151;94;84;47;70;141;286;513;723;659;641;678;718;774;704;733;853;921;1000;920;671;421;302;279;12383
09/09/2022;6;228;116;92;53;78;146;291;529;853;719;708;711;767;827;746;791;895;915;940;750;558;395;360;297;12765
10/09/2022;7;255;163;108;109;77;111;167;260;378;464;557;598;547;627;645;614;672;667;657;685;604;432;337;300;10034
11/09/2022;1;292;261;195;122;116;76;148;148;202;307;470;544;570;579;550;510;458;465;504;560;470;416;362;270;8595
12/09/2022;2;178;120;61;47;48;119;250;482;767;635;576;707;745;790;697;776;886;940;969;863;629;382;300;301;12268
13/09/2022;3;189;122;69;57;75;145;291;525;803;747;666;758;740;800;796;756;930;965;1010;942;645;401;320;339;13091
14/09/2022;4;204;115;67;57;76;147;276;508;745;720;683;773;823;780;797;776;864;1006;901;905;597;414;387;362;12983
15/09/2022;5;204;146;87;52;78;155;270;526;769;643;699;715;744;762;767;763;896;969;1039;920;612;478;545;424;13263
16/09/2022;6;271;146;110;66;74;147;298;508;848;754;734;802;770;813;980;1052;938;838;942;796;640;466;369;318;13680
17/09/2022;7;251;197;137;101;87;106;189;250;382;486;599;597;615;583;534;611;603;627;617;576;465;401;421;367;9802
18/09/2022;1;339;258;183;117;103;96;172;178;233;330;451;518;540;515;457;468;469;534;513;607;454;400;333;247;8515
19/09/2022;2;146;83;68;43;41;104;262;500;752;625;689;661;708;743;746;809;873;962;974;876;627;409;496;286;12483
20/09/2022;3;148;99;61;47;59;121;258;493;797;709;713;688;735;731;757;804;940;986;920;892;638;404;414;346;12760
21/09/2022;4;167;105;57;44;58;153;269;479;734;656;713;734;755;750;805;810;911;982;916;358;654;407;317;251;12085
22/09/2022;5;176;89;51;49;48;133;280;510;771;686;612;682;677;724;754;777;911;985;928;794;587;415;341;282;12262
23/09/2022;6;191;106;74;54;69;144;301;517;812;770;759;773;804;894;806;784;860;900;912;839;583;388;346;326;13012
24/09/2022;7;264;194;126;102;97;134;205;286;364;567;529;557;712;727;686;636;679;661;636;647;568;444;335;329;10485
25/09/2022;1;325;256;157;120;62;93;169;168;229;316;526;588;623;557;577;526;581;576;697;667;459;390;294;271;9227
26/09/2022;2;147;92;43;42;52;136;292;468;693;636;625;702;703;764;700;328;866;970;952;843;609;347;200;164;11374
27/09/2022;3;98;60;45;31;51;136;277;472;747;683;714;718;728;767;760;763;923;996;923;866;638;517;697;494;13104
28/09/2022;4;435;302;217;172;103;148;293;471;739;697;705;778;773;769;807;772;959;1019;1075;953;724;463;355;330;14059
29/09/2022;5;226;92;78;58;78;157;274;514;744;716;730;783;698;754;786;836;919;978;924;894;677;478;290;213;12897
01/10/2022;7;307;197;153;103;98;137;182;234;359;537;615;593;604;658;700;703;655;693;579;543;542;479;403;346;10420
02/10/2022;1;349;277;183;142;127;104;152;136;207;337;458;557;632;553;514;559;495;603;702;569;459;419;303;241;9078
03/10/2022;2;165;104;67;40;66;142;291;463;730;778;702;750;747;823;787;762;939;986;979;914;645;389;301;230;12800
04/10/2022;3;152;83;73;63;56;171;285;484;768;719;768;760;826;873;881;854;1001;1067;1009;904;656;368;330;214;13365
05/10/2022;4;178;105;58;43;60;174;286;499;710;694;742;745;843;779;840;849;888;956;919;881;662;373;389;314;12987
06/10/2022;5;188;90;81;71;64;157;269;518;705;723;749;715;750;841;823;795;973;1027;969;941;707;452;390;310;13308
07/10/2022;6;221;134;91;66;75;180;281;543;781;701;773;748;775;818;856;808;918;952;925;810;662;445;377;357;13297
09/10/2022;1;352;240;187;148;133;105;187;160;227;322;455;525;616;560;522;479;545;520;554;600;444;338;228;218;8665
10/10/2022;2;139;89;74;55;53;162;251;482;745;607;625;436;704;740;754;723;821;945;953;753;499;337;238;187;11372
11/10/2022;3;142;83;38;42;62;164;274;446;769;721;710;787;822;806;811;825;864;927;896;934;643;406;294;25;12491
12/10/2022;4;193;102;73;49;74;181;472;701;719;656;755;759;899;752;768;808;864;900;917;861;603;355;295;197;12953
13/10/2022;5;168;98;64;39;63;171;314;524;743;771;739;735;752;763;703;746;844;926;889;769;538;372;275;223;12229
14/10/2022;6;151;131;75;59;85;180;309;509;784;668;698;714;720;816;788;802;815;842;878;775;568;378;322;309;12376
15/10/2022;7;272;184;136;109;93;131;203;278;357;426;545;624;666;682;691;580;571;599;604;624;519;447;332;332;10005
16/10/2022;1;304;232;185;140;106;107;175;146;265;326;446;504;521;553;465;524;504;505;541;557;449;311;234;234;8334
17/10/2022;2;162;91;52;57;54;158;298;457;683;609;645;780;750;745;806;798;837;911;930;750;508;366;272;203;11922
18/10/2022;3;152;102;63;37;69;149;265;483;815;699;733;709;734;732;676;710;848;866;949;776;597;405;296;286;12151
19/10/2022;4;171;102;67;49;81;167;298;458;656;654;699;714;776;808;795;817;1063;874;941;807;596;387;303;256;12539
20/10/2022;5;189;84;57;51;66;159;290;474;716;663;628;680;687;806;774;766;849;1035;968;797;645;425;336;275;12420
21/10/2022;6;202;117;50;67;78;172;298;470;772;680;672;704;730;835;772;818;890;957;895;747;616;366;336;349;12593
23/10/2022;1;306;239;194;133;107;117;157;155;231;266;400;475;573;490;545;560;541;578;541;557;485;365;275;232;8522
24/10/2022;2;178;108;79;40;58;136;288;465;664;642;114;654;741;752;727;713;842;974;940;807;622;366;271;206;11387
25/10/2022;3;154;79;54;40;62;174;302;460;700;667;664;723;693;782;774;823;928;946;942;881;619;376;275;236;12354
27/10/2022;5;228;110;91;52;63;167;252;446;629;547;628;693;745;704;748;790;889;952;912;851;653;442;380;329;12301
28/10/2022;6;238;144;94;67;75;154;275;453;700;655;646;697;774;780;793;725;842;897;812;710;606;440;366;322;12265
29/10/2022;7;272;183;146;86;93;138;213;223;314;408;506;569;556;500;538;587;557;563;530;613;466;406;302;335;9104
30/10/2022;1;314;226;108;102;87;111;155;149;203;329;414;421;463;442;499;441;466;534;567;496;407;317;248;250;7749
01/11/2022;3;205;187;147;105;92;112;161;191;258;318;425;474;538;508;537;532;538;585;554;572;410;341;261;225;8276
02/11/2022;4;146;72;54;42;74;159;292;429;620;652;649;646;676;691;697;746;824;872;841;783;591;340;251;267;11414
03/11/2022;5;192;94;48;51;63;169;306;433;703;600;594;622;682;696;686;722;865;887;900;808;613;384;285;259;11662
04/11/2022;6;190;119;88;54;68;158;312;458;702;657;714;695;711;792;774;794;854;856;842;720;552;373;314;305;12102
05/11/2022;7;267;166;121;98;97;113;193;218;348;449;569;616;634;551;651;650;586;601;584;601;502;373;345;337;9670
06/11/2022;1;308;236;160;103;97;108;151;175;216;292;408;500;530;500;468;522;547;499;595;524;402;320;238;210;8109
07/11/2022;2;134;65;46;32;50;147;284;522;735;627;626;644;737;781;780;817;964;1032;993;898;594;368;271;232;12379
08/11/2022;3;139;88;54;37;76;171;294;509;736;688;731;748;760;805;743;814;972;1150;1027;901;644;409;329;232;13057
09/11/2022;4;169;103;74;48;70;172;284;476;675;623;641;646;762;836;814;681;845;869;883;841;601;474;324;254;12165
10/11/2022;5;194;111;83;46;103;174;251;539;813;703;644;643;709;741;786;821;870;918;931;847;695;528;370;330;12850
11/11/2022;6;282;173;138;96;72;88;150;203;251;382;452;524;620;591;525;571;577;573;621;573;505;359;298;312;8936
13/11/2022;1;195;222;156;99;88;108;172;148;234;283;439;465;524;501;487;512;467;533;781;543;481;355;298;216;8307
14/11/2022;2;157;91;52;44;58;150;291;452;693;641;754;751;769;823;824;896;922;1034;938;843;622;386;350;297;12838
15/11/2022;3;191;93;76;40;71;168;289;522;779;708;724;776;698;779;780;884;990;953;979;848;682;437;421;361;13249
16/11/2022;4;253;146;98;61;84;171;302;472;702;678;641;762;896;876;827;798;898;875;876;850;638;382;296;209;12791
17/11/2022;5;145;89;61;40;60;147;289;465;721;673;623;647;730;786;794;799;942;962;930;900;596;402;285;239;12325
18/11/2022;6;198;131;67;59;56;157;298;493;801;683;716;756;847;840;792;789;910;945;1013;826;642;355;355;164;12893
